r_projected_kpc,delta_sigma_cdm_msun_kpc2,delta_sigma_sidm_sigma_0p200,delta_sigma_sidm_sigma_0p500,delta_sigma_sidm_sigma_1p000,delta_sigma_sidm_sigma_2p000
30.0,24710193.02483051,15661960.774281872,9095274.590667717,5772343.173200395,3884630.791488576
33.39126579802568,55360949.198453106,35336012.52227235,20916495.95048619,13455500.628802858,9146828.80247389
37.165887719813306,132234865.317753,81803696.37367462,48161102.47087222,31031392.665585432,21101121.010517392
41.36720118239549,175174274.0445166,113175402.56911613,69024990.282963,45092575.290188834,30748524.79769033
46.04344033339234,202510212.15300152,138505877.53825432,88449620.54597546,58930043.79719828,40385668.75702481
51.2482918142613,209581728.15183625,154641262.84827593,104389314.69175638,71270653.63622609,49100588.235098846
57.041511122159434,212827568.4571967,168093475.47036016,119963614.68729272,84329126.3699775,58620602.601806656
63.4896086467021,214753784.580109,179518098.13978827,135088195.49719834,98156303.54463443,69174665.67141892
70.66661325782198,215521564.1754372,188790952.3403641,149177758.8883042,112342728.40945892,80688071.03856719
78.65492221127398,215271480.1277047,195944069.64618424,161762540.20155948,126386020.2798345,92970222.73640548
87.54624712932275,214112421.87352243,201075893.61379853,172497179.90199092,139744665.5610024,105708503.657598
97.44266691716196,212119345.09208244,204306645.40798196,181128033.6959373,151842802.88080606,118430946.56309777
108.45779970331458,209358357.3902638,205800120.21606034,187579385.5784539,162234253.20874462,130604496.24277107
120.71810725874694,205887685.3777303,205727616.5158283,191890817.88525867,170619817.2458308,141705722.14316538
134.36434687037976,201743706.48049855,204235876.56893525,194148592.7920021,176802137.70490676,151220953.44260693
149.5531873375657,196967931.90044066,201476827.4662741,194513778.96364972,180759211.8701906,158797101.11079416
166.45900764435268,191604807.22207743,197597398.5792142,193179303.9174811,182584432.24336317,164240072.58033156
185.27589895760565,185686254.543316,192716513.78448796,190322328.97409308,182412456.36067542,167462427.74988607
206.2198929353853,179255468.5371898,186955408.77545235,186132875.3084564,180442456.91427454,168531852.61762893
229.531441928195,172365215.56468475,180436504.94476035,180804101.5122635,176905987.11234978,167619255.5871039
255.4781795476152,165060699.6824833,173261771.63269258,174500219.57833347,172014537.21039766,164922398.1355056
284.35799329567163,157399492.34373415,165538341.05866387,167385501.98063606,165986138.30704942,160682925.29354772
316.5024445309659,149450439.71481895,157379128.73289996,159625187.7390097,159041472.71161273,155166349.9081134
352.2805750352784,141274318.2915901,148880140.47883278,151357842.22087237,151367108.68318987,148607598.03716376
392.10314388281034,132942071.05601053,140142852.71990645,142721663.25318605,143144496.86410853,141238328.6331978
436.4273432544143,124532500.80065249,131272901.38465379,133854499.02702543,134550662.25037578,133285198.90460207
485.7620473378108,116113127.59949328,122358714.94287609,124870005.36920395,125730530.47571485,124934720.31186567
540.6736545749992,107756270.22367373,113490437.36251388,115879480.29640594,116821844.90837666,116361001.02078901
601.7925903301241,99535650.90199013,104756721.75182073,106989273.34512042,107953337.53812864,107724432.14478065
669.8205446331851,91511160.12077537,96228532.01388322,98283755.40775801,99226578.18244556,99151413.13036755
745.5385280941671,83741316.22741175,87973277.62800583,89841081.05917832,90733585.2324928,90754251.80712229
829.8158384753724,76280269.03991678,80051866.26845992,81730592.8321846,82554770.05165708,82629866.51824738
923.6200408647569,69167427.14484745,72508016.5719242,74001942.06479774,74747857.99077342,74848340.18112393
1028.0280760299481,62437215.15881374,65379052.12963112,66696798.08676594,67360621.21934028,67467003.16249776
1144.2386244849638,56117109.31000926,58693990.33566791,59847166.97512628,60429545.73370169,60529632.21155823
1273.5858682181577,50221336.61640137,52467222.20225677,53469107.3397752,53973622.22729245,54060350.732985094
1417.5548080760589,44758615.27301115,46706895.39669129,47571622.057863355,48003777.89372339,48073764.85339983
1577.7983126578988,39731194.69584529,41414009.01978424,42155906.572117336,42522341.10768662,42574750.53662863
1756.1560944545445,35131999.024274915,36579646.515302174,37212670.17153823,37520479.138570435,37556062.456550725
1954.675831091813,30949774.395637244,32190463.649837505,32727875.118105438,32984190.48251318,33004646.625213694
2175.6366741654497,27044780.313795403,28102222.233984575,28554418.710358348,28764375.92531559,28770413.170917016
2421.575415566371,22779469.18527852,23650610.115286868,24018653.878049526,24185164.92841602,24181453.884055536
2695.3156117047065,17618704.665496673,18280812.461676635,18558149.373949517,18680953.19775725,18672836.08262773
3000.0,9585994.847947309,9948486.143590413,10094333.75013292,10155639.328799563,10145512.396377122
